n, greedy, genetic, advanced_genetic, recursive
5, 11.6876, 10.8172, 11.041, 8.15189
50, 0.769911, 2.87608, 3.56935, 0.166333
100, 0.500631, 1.30795, 1.58803, 0.121807
250, 0.197642, 4.46032, 5.78162, 0.0470832
